Code,Country,Discipline,Event,Gender,Medal,Name,NOC,Rank,Sport,Age,F1
1344191,Serbia,WPO,Men Team,Male,Gold,MITROVIC Stefan,SRB,1,Water Polo,33,8861
1483092,Australia,HOC,Men Team,Male,Silver,MITTON Trent Grant,AUS,2,Hockey,30,8864
1313629,Japan,BKB,Women Team,Female,Silver,MIYAZAKI Saori,JPN,2,Basketball,25,8879
1313619,Japan,BKB,Women Team,Female,Silver,MIYAZAWA Yuki,JPN,2,Basketball,28,8880
1340267,France,BKB,Women Team,Female,Bronze,MIYEM Endene,FRA,3,Basketball,33,8881
1313527,Japan,BKB,Women Team,Female,Silver,MIYOSHI Naho,JPN,2,Basketball,27,8883
1316123,Japan,TTE,Mixed Doubles Team,Male,Gold,MIZUTANI Jun,JPN,1,Table Tennis,32,8890
1316123,Japan,TTE,Men's Team,Male,Bronze,MIZUTANI Jun,JPN,3,Table Tennis,32,8891
1403680,France,JUD,Men -60 kg,Male,Bronze,MKHEIDZE Luka,FRA,3,Judo,25,8892
1390781,Denmark,HBL,Men Team,Male,Silver,MOELLER Kevin,DEN,2,Handball,32,8902
1367086,Denmark,HBL,Men Team,Male,Silver,MOELLGAARD Henrik,DEN,2,Handball,36,8903
1343613,Norway,HBL,Women Team,Female,Bronze,MOERK Nora,NOR,3,Handball,30,8906
1467276,Netherlands,HOC,Women Team,Female,Gold,MOES Freeke,NED,1,Hockey,22,8907
1343115,Italy,GRY,Group All-Around Team,Female,Bronze,MOGUREAN Daniela,ITA,3,Rhythmic Gymnastics,20,8910
1343608,Norway,VBV,Men Team,Male,Gold,MOL Anders Berntsen,NOR,1,Beach Volleyball,24,8956
1473839,New Zealand,RUG,Men Team,Male,Silver,MOLIA Sione,NZL,2,Rugby Sevens,27,8968
1326124,Mongolia,JUD,Men -81 kg,Male,Silver,MOLLAEI Saeid,MGL,2,Judo,29,8972
1553474,Australia,ATH,Men's Decathlon,Male,Bronze,MOLONEY Ashley,AUS,3,Athletics,21,8977
1332368,Spain,FBL,Men Team,Male,Silver,MONCAYOLA Jon,ESP,2,Football,23,8982
1362763,Argentina,RUG,Men Team,Male,Bronze,MONETA Marcos,ARG,3,Rugby Sevens,21,8983
1334786,Italy,FEN,Men's Sabre Team,Male,Silver,MONTANO Aldo,ITA,2,Fencing,42,8992
1301996,Mexico,FBL,Men Team,Male,Bronze,MONTES Cesar,MEX,3,Football,24,8999
